_id,length,end_node,start_node,street,street_level,street_name,street_type,slat,slng,elat,elng
33829,11,366389775,366478937,213719140,4,Phú Hòa,unclassified,106.6558776,106.6559843,10.786154,10.7861687
33830,11,366478937,366389775,213719140,4,Phú Hòa,unclassified,106.6559761,106.6558694,10.7862281,10.7862134
33831,4,4636764470,4636764469,213720087,2,Đường Lý Thường Kiệt,primary,106.6525736,106.6525908,10.7901183,10.790154
33832,4,4636764469,4636764470,213720087,2,Quận Tân Bình,primary,106.6525368,106.6525196,10.79018,10.7901443
33833,4,4636764475,4636764470,213720087,2,Đường Lý Thường Kiệt,primary,106.6525936,106.6525982,10.7901635,10.7902028
33834,4,4636764470,4636764475,213720087,2,Quận Tân Bình,primary,106.6525386,106.652534,10.7902098,10.7901705
33835,4,2233736946,4636764475,213720087,2,Quận Tân Bình,primary,106.6525977,106.6525891,10.7902128,10.7902514
33836,4,4636764475,2233736946,213720087,2,Quận Tân Bình,primary,106.6525305,106.6525391,10.7902384,10.7901998
33837,4,2233747340,2233736946,213720087,2,Đường Lý Thường Kiệt,primary,106.6525856,106.6525668,10.7902602,10.7902918
33838,4,2233736946,2233747340,213720087,2,Quận Tân Bình,primary,106.6525152,106.652534,10.7902612,10.7902296
33839,4,4636764461,2233747340,213720087,2,Đường Lý Thường Kiệt,primary,106.6525609,106.6525333,10.7902989,10.7903234
33840,4,2233747340,4636764461,213720087,2,Quận Tân Bình,primary,106.6524935,106.6525211,10.7902786,10.7902541
33841,4,2233738918,4636764461,213720087,2,Quận Tân Bình,primary,106.6525258,106.652492,10.7903283,10.7903437
33842,4,4636764461,2233738918,213720087,2,Quận Tân Bình,primary,106.6524672,106.652501,10.7902891,10.7902737
33843,4,2233738926,2233738918,213720087,2,Quận Tân Bình,primary,106.6524834,106.6524466,10.7903462,10.7903509
33844,4,2233738918,2233738926,213720087,2,Quận Tân Bình,primary,106.652439,106.6524758,10.7902913,10.7902866
33845,4,2061032830,2233738926,213720087,2,Quận Tân Bình,primary,106.6524377,106.652401,10.7903507,10.7903444
33846,4,2233738926,2061032830,213720087,2,Quận Tân Bình,primary,106.6524112,106.6524479,10.7902852,10.7902915
33847,4,4636764474,2061032830,213720087,2,Đường Lý Thường Kiệt,primary,106.6523926,106.6523595,10.7903416,10.7903249
33848,4,2061032830,4636764474,213720087,2,Quận Tân Bình,primary,106.6523865,106.6524196,10.7902713,10.790288
33850,4,4636764474,4636764476,213720087,2,Quận Tân Bình,primary,106.6523676,106.652394,10.7902508,10.7902766
33852,4,4636764476,2061032831,213720087,2,Quận Tân Bình,primary,106.6523556,106.652373,10.7902258,10.7902581
33853,4,2233738923,2061032831,213720087,2,Quận Tân Bình,primary,106.6522997,106.6522928,10.7902455,10.7902083
33854,4,2061032831,2233738923,213720087,2,Quận Tân Bình,primary,106.6523518,106.6523587,10.7901973,10.7902345
33855,4,4636764468,2233738923,213720087,2,Lạc Long Quân,primary,106.6522926,106.6522978,10.7901987,10.7901612
33856,4,2233738923,4636764468,213720087,2,Quận Tân Bình,primary,106.6523572,106.652352,10.7901694,10.7902069
33857,4,4636764471,4636764468,213720087,2,Lạc Long Quân,primary,106.6523006,106.6523174,10.790152,10.7901179
33858,4,4636764468,4636764471,213720087,2,Quận Tân Bình,primary,106.6523712,106.6523544,10.7901445,10.7901786
33859,4,4636764477,4636764471,213720087,2,Quận Tân Bình,primary,106.6523229,106.6523496,10.7901102,10.7900829
33860,4,4636764471,4636764477,213720087,2,Quận Tân Bình,primary,106.6523924,106.6523657,10.7901249,10.7901522
33861,4,4638941682,4636764477,213720087,2,Lạc Long Quân,primary,106.652357,106.6523909,10.7900774,10.7900595
33862,4,4636764477,4638941682,213720087,2,Quận Tân Bình,primary,106.6524189,106.652385,10.7901125,10.7901304
