,period,segment_id,date,weekday,tomtom_velocity,base_LOS,isHot,weather,temperature,district,lat,lng,is_morning
145,period_15_15,37989,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78618035,106.66603545,0
146,period_15_15,37995,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.7795003,106.67855425,0
147,period_15_15,37997,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.7795461,106.67846925,0
148,period_15_15,65133,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78390445,106.6703243,0
149,period_15_15,37999,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.77963605,106.6783037,0
150,period_15_15,65135,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78380045,106.6705192,0
151,period_15_15,38001,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.77972535,106.67813695,0
152,period_15_15,65137,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78369685,106.67071335,0
153,period_15_15,38003,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.77988295,106.677848,0
154,period_15_15,65139,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.783680100000002,106.6707447,0
155,period_15_15,38005,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78004525,106.6775405,0
156,period_15_15,33910,2022-03-20,6,43,A,True,few clouds,27,Quận Tân Bình,10.79000155,106.65263525,0
157,period_15_15,65143,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.783561,106.6709659,0
158,period_15_15,65141,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78362205,106.6708525,0
159,period_15_15,38009,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78022225,106.67721165,0
160,period_15_15,65145,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.7835069,106.6710674,0
161,period_15_15,65147,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78338085,106.67130385,0
162,period_15_15,38007,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.780118300000002,106.67739625,0
163,period_15_15,38013,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.7802935,106.67708735,0
164,period_15_15,38011,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78027965,106.67711015,0
165,period_15_15,65151,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78316265,106.6717101,0
166,period_15_15,65149,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.7832951,106.6714647,0
167,period_15_15,38017,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.7807175,106.6762717,0
168,period_15_15,65153,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.7829914,106.6720267,0
169,period_15_15,38019,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78081915,106.67608215,0
170,period_15_15,65156,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.7809521,106.6758352,0
171,period_15_15,65154,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78089305,106.67594505,0
172,period_15_15,65158,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78103655,106.67567815,0
173,period_15_15,38015,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.7804893,106.67671115,0
174,period_15_15,58026,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.785826449999998,106.666718,0
175,period_15_15,58028,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78569085,106.66697825,0
176,period_15_15,58030,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78560115,106.6671475,0
177,period_15_15,58032,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.7854384,106.6674478,0
178,period_15_15,58034,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78527735,106.6677466,0
179,period_15_15,58036,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78510515,106.6680722,0
180,period_15_15,58038,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78487565,106.6685061,0
181,period_15_15,58040,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78469515,106.66884635,0
182,period_15_15,12482,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.7776964,106.66573475,0
183,period_15_15,12484,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.77734675,106.6660238,0
184,period_15_15,12486,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.776986099999998,106.6663185,0
185,period_15_15,12488,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.7766207,106.66661135,0
186,period_15_15,12490,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.7764798,106.6667256,0
187,period_15_15,12492,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.77629605,106.6668763,0
188,period_15_15,65229,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78453635,106.66914465,0
189,period_15_15,12494,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.77595305,106.66715295,0
190,period_15_15,65231,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78437625,106.6694435,0
191,period_15_15,12496,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.77566155,106.6673751,0
192,period_15_15,65233,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78420325,106.66976475,0
193,period_15_15,12498,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.775325,106.66760235,0
194,period_15_15,65235,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78410965,106.6699386,0
195,period_15_15,12500,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.7750715,106.667767,0
196,period_15_15,65237,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78405515,106.6700423,0
197,period_15_15,12502,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.77501065,106.6678035,0
198,period_15_15,65239,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78396315,106.67021535,0
199,period_15_15,12504,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.77481205,106.6679229,0
200,period_15_15,12506,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.7744812,106.6681246,0
201,period_15_15,12508,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.774304099999998,106.66823485,0
202,period_15_15,12510,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.7741809,106.6683172,0
203,period_15_15,12512,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.77400465,106.66843575,0
204,period_15_15,12514,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.77379705,106.6685679,0
205,period_15_15,12516,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.77334835,106.66881925,0
206,period_15_15,12518,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.772897,106.6690605,0
207,period_15_15,12520,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.7727404,106.6691442,0
208,period_15_15,12522,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.77260785,106.66921515,0
209,period_15_15,12524,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.7723479,106.6693537,0
210,period_15_15,12526,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.77213065,106.6694731,0
211,period_15_15,12528,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.7719805,106.66955845,0
212,period_15_15,12530,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.7716297,106.669751,0
213,period_15_15,12532,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.7708869,106.6701503,0
214,period_15_15,12534,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.7703645,106.67042545,0
215,period_15_15,12536,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.77026225,106.6704772,0
216,period_15_15,12538,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.77013395,106.67053855,0
217,period_15_15,12540,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.76988085,106.67066925,0
218,period_15_15,36658,2022-03-20,6,43,A,True,few clouds,27,Quận Tân Bình,10.77834805,106.65598495,0
219,period_15_15,36659,2022-03-20,6,43,A,True,few clouds,27,Quận Tân Bình,10.77861115,106.65590565,0
220,period_15_15,56628,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.79273305,106.6537147,0
221,period_15_15,56630,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.79284105,106.65349295,0
222,period_15_15,56632,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.79290155,106.65338165,0
223,period_15_15,16190,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.77812545,106.6811359,0
224,period_15_15,16192,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.7783163,106.6807725,0
225,period_15_15,16194,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.7784588,106.6805025,0
226,period_15_15,16196,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.778586,106.6802627,0
227,period_15_15,16198,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.77871065,106.6800289,0
228,period_15_15,16200,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.7788576,106.67975425,0
229,period_15_15,16202,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.7790617,106.6793617,0
230,period_15_15,16204,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.77931135,106.6788962,0
231,period_15_15,16206,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.77944545,106.6786566,0
232,period_15_15,65361,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.7811634,106.6754378,0
233,period_15_15,65363,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78133815,106.6751097,0
234,period_15_15,65365,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.7815139,106.67478405,0
235,period_15_15,65367,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.7817009,106.674436,0
236,period_15_15,65369,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.781896,106.67407435,0
237,period_15_15,65371,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78209865,106.67369555,0
238,period_15_15,65373,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78225605,106.67339825,0
239,period_15_15,65375,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78239275,106.6731453,0
240,period_15_15,46956,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.7679512,106.66733405,0
241,period_15_15,46957,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.76797415,106.6671872,0
242,period_15_15,46958,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.7680787,106.6670062,0
243,period_15_15,58221,2022-03-20,6,43,A,True,few clouds,27,Quận Tân Bình,10.76537695,106.65959925,0
244,period_15_15,58228,2022-03-20,6,43,A,True,few clouds,27,Quận Tân Bình,10.76850355,106.65873155,0
245,period_15_15,58238,2022-03-20,6,43,A,True,few clouds,27,Quận Tân Bình,10.7726668,106.6575547,0
246,period_15_15,63367,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.76484915,106.66177105,0
247,period_15_15,41866,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.7765181,106.66354695,0
248,period_15_15,41867,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.77695185,106.6630844,0
249,period_15_15,41868,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.7777732,106.66220975,0
250,period_15_15,41869,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.77885725,106.6610643,0
251,period_15_15,41870,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.7796192,106.6602556,0
252,period_15_15,41871,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.780017099999998,106.6598096,0
253,period_15_15,41872,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.78054685,106.6592147,0
254,period_15_15,41874,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.7763773,106.66365305,0
255,period_15_15,41876,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.7761458,106.6637469,0
256,period_15_15,41878,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.77588255,106.6638509,0
257,period_15_15,41880,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.77570835,106.66391845,0
258,period_15_15,41882,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.7754289,106.66402675,0
