,_id,length,end_node,start_node,street,street_level,street_name,street_type,slng,elng,slat,elat,district,lng,lat
82,8671,9,366388492,5059499581,32582109,4,Hoà Hưng,tertiary,106.6724577,106.6723764,10.7785408,10.7785103,Quận 3,106.67241705,10.778525550000001
83,8672,48,366401260,5059499581,32582109,4,Hoà Hưng,tertiary,106.6724786,106.6728909,10.7784846,10.7786366,Quận 3,106.67268475,10.7785606
84,8673,48,5059499581,366401260,32582109,4,Hoà Hưng,tertiary,106.6728701,106.6724578,10.7786928,10.7785408,Quận 3,106.67266395,10.7786168
85,8674,48,5063701263,366401260,32582109,4,Hoà Hưng,tertiary,106.6728891,106.6733095,10.778636,10.7787619,Quận 3,106.6730993,10.778698949999999
86,8675,48,366401260,5063701263,32582109,4,Hoà Hưng,tertiary,106.6732923,106.6728719,10.7788193,10.7786934,Quận 3,106.6730821,10.77875635
87,8676,12,5063701259,5063701263,32582109,4,Hoà Hưng,tertiary,106.6733109,106.6734226,10.7787623,10.7788017,Quận 3,106.67336675,10.778782
88,8677,12,5063701263,5063701259,32582109,4,Hoà Hưng,tertiary,106.6734026,106.6732909,10.7788583,10.7788189,Quận 3,106.67334675000001,10.7788386
89,8678,67,5063701248,5063701259,32582109,4,Hoà Hưng,tertiary,106.673423,106.6740013,10.7788019,10.7790167,Quận 3,106.67371215,10.778909299999999
90,8679,67,5063701259,5063701248,32582109,4,Hoà Hưng,tertiary,106.6739805,106.6734022,10.7790729,10.7788581,Quận 3,106.67369135,10.7789655
91,8680,6,366401737,5063701248,32582109,4,Hoà Hưng,tertiary,106.6740043,106.6740554,10.779018,10.7790435,Quận 3,106.67402985,10.77903075
92,8681,6,5063701248,366401737,32582109,4,Hoà Hưng,tertiary,106.6740286,106.6739775,10.7790971,10.7790716,Quận 3,106.67400305000001,10.77908435
93,8682,55,5059499574,366401737,32582109,4,Hoà Hưng,tertiary,106.6740525,106.67453,10.7790422,10.7792208,Quận 3,106.67429125000001,10.779131499999998
94,8683,55,366401737,5059499574,32582109,4,Hoà Hưng,tertiary,106.674509,106.6740315,10.779277,10.7790984,Quận 3,106.67427025,10.779187700000001
95,8684,24,5063701241,5059499574,32582109,4,Hoà Hưng,tertiary,106.6745305,106.6747396,10.779221,10.7793037,Quận 3,106.67463505,10.77926235
96,8685,24,5059499574,5063701241,32582109,4,Hoà Hưng,tertiary,106.6747176,106.6745085,10.7793595,10.7792768,Quận 3,106.67461305,10.77931815
97,8686,35,5063701235,5063701241,32582109,4,Hoà Hưng,tertiary,106.6747387,106.6750416,10.7793033,10.7794114,Quận 3,106.67489015000001,10.779357350000002
98,8687,35,5063701241,5063701235,32582109,4,Hoà Hưng,tertiary,106.6750214,106.6747185,10.779468,10.7793599,Quận 3,106.67486995,10.779413949999999
99,8688,2,5778141551,5063701235,32582109,4,Hoà Hưng,tertiary,106.6750411,106.6750592,10.7794113,10.7794174,Quận 3,106.67505015,10.77941435
100,8689,2,5063701235,5778141551,32582109,4,Hoà Hưng,tertiary,106.67504,106.6750219,10.7794742,10.7794681,Quận 3,106.67503095000001,10.77947115
101,8690,17,5059499568,5778141551,32582109,4,Hoà Hưng,tertiary,106.6750601,106.6752074,10.7794177,10.7794725,Quận 3,106.67513375,10.7794451
102,8691,17,5778141551,5059499568,32582109,4,Hoà Hưng,tertiary,106.6751864,106.6750391,10.7795287,10.7794739,Quận 3,106.67511275000001,10.7795013
103,8692,31,5059499523,5059499568,32582109,4,Hoà Hưng,tertiary,106.6752078,106.6754726,10.7794726,10.7795756,Quận 3,106.6753402,10.7795241
104,8693,31,5059499568,5059499523,32582109,4,Hoà Hưng,tertiary,106.6754508,106.675186,10.7796316,10.7795286,Quận 3,106.6753184,10.7795801
105,8694,2,5059499537,5059499523,32582109,4,Hoà Hưng,tertiary,106.6754745,106.6754951,10.7795765,10.7795862,Quận 3,106.6754848,10.77958135
106,8695,2,5059499523,5059499537,32582109,4,Hoà Hưng,tertiary,106.6754695,106.6754489,10.7796404,10.7796307,Quận 3,106.6754592,10.77963555
107,8696,45,5063700712,5059499537,32582109,4,Hoà Hưng,tertiary,106.675493,106.6758837,10.7795853,10.779735,Quận 3,106.67568835,10.779660150000002
108,8697,45,5059499537,5063700712,32582109,4,Hoà Hưng,tertiary,106.6758623,106.6754716,10.779791,10.7796413,Quận 3,106.67566695,10.779716149999999
109,8698,24,5063700709,5063700712,32582109,4,Hoà Hưng,tertiary,106.6758839,106.6760894,10.779735,10.7798151,Quận 3,106.67598665,10.779775050000001
110,8699,24,5063700712,5063700709,32582109,4,Hoà Hưng,tertiary,106.6760676,106.6758621,10.7798711,10.779791,Quận 3,106.67596485,10.779831049999999
111,8700,24,5063700706,5063700709,32582109,4,Hoà Hưng,tertiary,106.6760895,106.6762948,10.7798152,10.7798957,Quận 3,106.67619214999999,10.77985545
112,8701,24,5063700709,5063700706,32582109,4,Hoà Hưng,tertiary,106.6762728,106.6760675,10.7799515,10.779871,Quận 3,106.67617015,10.77991125
113,8702,24,5059499533,5063700706,32582109,4,Hoà Hưng,tertiary,106.6762948,106.6765,10.7798957,10.7799764,Quận 3,106.6763974,10.77993605
114,8703,24,5063700706,5059499533,32582109,4,Hoà Hưng,tertiary,106.676478,106.6762728,10.7800322,10.7799515,Quận 3,106.67637540000001,10.77999185
115,8704,24,5063701544,5059499533,32582109,4,Hoà Hưng,tertiary,106.6765,106.6767051,10.7799764,10.7800575,Quận 3,106.67660255000001,10.78001695
116,8705,24,5059499533,5063701544,32582109,4,Hoà Hưng,tertiary,106.6766831,106.676478,10.7801133,10.7800322,Quận 3,106.67658055000001,10.78007275
117,8706,24,5063701541,5063701544,32582109,4,Hoà Hưng,tertiary,106.6767052,106.6769102,10.7800575,10.7801388,Quận 3,106.6768077,10.78009815
118,8707,24,5063701544,5063701541,32582109,4,Hoà Hưng,tertiary,106.676888,106.676683,10.7801946,10.7801133,Quận 3,106.6767855,10.780153949999999
119,8708,21,5778164527,5063701541,32582109,4,Hoà Hưng,tertiary,106.6769161,106.6770754,10.780142,10.7802513,Quận 3,106.67699575,10.78019665
120,8709,21,5063701541,5778164527,32582109,4,Hoà Hưng,tertiary,106.6770414,106.6768821,10.7803007,10.7801914,Quận 3,106.67696175,10.780246049999999
121,8720,12,5769575755,5769575452,32582173,4,Thoại Ngọc Hầu,tertiary,106.6212667,106.6213774,10.7735893,10.7736233,Quận Tân Bình,106.62132205,10.7736063
122,8721,12,5769575452,5769575755,32582173,4,Thoại Ngọc Hầu,tertiary,106.6213598,106.6212491,10.7736807,10.7736467,Quận Tân Bình,106.62130445,10.7736637
123,8722,22,5769575451,5769575755,32582173,4,Thoại Ngọc Hầu,tertiary,106.6213811,106.6215635,10.7736247,10.7737086,Quận Tân Bình,106.6214723,10.77366665
124,8723,22,5769575755,5769575451,32582173,4,Thoại Ngọc Hầu,tertiary,106.6215385,106.6213561,10.7737632,10.7736793,Quận Tân Bình,106.6214473,10.77372125
125,8724,80,5769575448,5769575451,32582173,4,Thoại Ngọc Hầu,tertiary,106.621566,106.6222051,10.7737099,10.7740792,Quận Tân Bình,106.62188555,10.77389455
126,8725,80,5769575451,5769575448,32582173,4,Thoại Ngọc Hầu,tertiary,106.6221751,106.621536,10.7741312,10.7737619,Quận Tân Bình,106.62185555,10.77394655
127,8866,76,4102230924,5778136906,32582173,4,Thoại Ngọc Hầu,tertiary,106.6410736,106.6416286,10.7855034,10.7859214,Quận Tân Bình,106.64135110000001,10.7857124
128,8867,76,5778136906,4102230924,32582173,4,Thoại Ngọc Hầu,tertiary,106.6415926,106.6410376,10.7859694,10.7855514,Quận Tân Bình,106.6413151,10.785760400000001
129,8868,8,5769329442,4102230924,32582173,4,Thoại Ngọc Hầu,tertiary,106.6416288,106.6416871,10.7859216,10.7859662,Quận Tân Bình,106.64165795,10.7859439
130,8869,8,4102230924,5769329442,32582173,4,Thoại Ngọc Hầu,tertiary,106.6416507,106.6415924,10.7860138,10.7859692,Quận Tân Bình,106.64162155,10.7859915
131,9104,8,5767087883,366450035,32582473,4,Bùi Thanh Khiết,tertiary,106.5739835,106.5740093,10.6916541,10.6915775,Huyện Bình Chánh,106.5739964,10.6916158
132,9105,8,366450035,5767087883,32582473,4,Bùi Thanh Khiết,tertiary,106.5740661,106.5740403,10.6915967,10.6916733,Huyện Bình Chánh,106.5740532,10.691635
133,9118,31,2216910407,2228506654,32582473,4,Bùi Thanh Khiết,tertiary,106.5758335,106.5759418,10.6864337,10.6861675,Huyện Bình Chánh,106.57588765,10.6863006
134,9119,31,2228506654,2216910407,32582473,4,Bùi Thanh Khiết,tertiary,106.5759974,106.5758891,10.6861901,10.6864563,Huyện Bình Chánh,106.57594325,10.6863232
135,9120,12,2216910399,2216910407,32582473,4,Bùi Thanh Khiết,tertiary,106.5759417,106.5759828,10.6861677,10.6860647,Huyện Bình Chánh,106.57596225,10.6861162
136,9121,12,2216910407,2216910399,32582473,4,Bùi Thanh Khiết,tertiary,106.5760386,106.5759975,10.6860869,10.6861899,Huyện Bình Chánh,106.57601805,10.6861384
137,9122,27,2228517452,2216910399,32582473,4,Bùi Thanh Khiết,tertiary,106.5759834,106.5760845,10.6860634,10.6858413,Huyện Bình Chánh,106.57603395,10.68595235
138,9123,27,2216910399,2228517452,32582473,4,Bùi Thanh Khiết,tertiary,106.5761391,106.576038,10.6858661,10.6860882,Huyện Bình Chánh,106.57608855000001,10.68597715
139,11155,9,366432372,366389775,32584015,4,Bến Cát,unclassified,106.6559645,106.6560366,10.7861728,10.7861285,Quận Tân Bình,106.65600054999999,10.78615065
140,11156,9,366389775,366432372,32584015,4,Bến Cát,unclassified,106.656068,106.6559959,10.7861797,10.786224,Quận Tân Bình,106.65603195,10.786201850000001
141,11157,63,366415275,366432372,32584015,4,Bến Cát,unclassified,106.6560289,106.6563909,10.7861354,10.7856831,Quận Tân Bình,106.6562099,10.78590925
142,11158,63,366432372,366415275,32584015,4,Bến Cát,unclassified,106.6564377,106.6560757,10.7857205,10.7861728,Quận Tân Bình,106.6562567,10.78594665
143,11159,43,366412916,366415275,32584015,4,Bến Cát,unclassified,106.6563909,106.6566391,10.785683,10.785373,Quận Tân Bình,106.65651500000001,10.785528
